transaction_id,date,quarter,year,community,tier,property_type,bedrooms,area_sqft,price_aed,price_per_sqft,transaction_type,gross_roi_pct,annual_rent_est_aed
DLD-100000,2022-03-23,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1965000,3275.0,Off-Plan,4.1,81000.0
DLD-100001,2022-01-15,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1800,6328000,3515.56,Ready,3.69,233000.0
DLD-100002,2022-01-04,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2380000,3173.33,Ready,3.47,83000.0
DLD-100003,2022-02-05,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1898000,3163.33,Off-Plan,3.67,70000.0
DLD-100004,2022-02-01,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,6864000,2745.6,Ready,3.7,254000.0
DLD-100005,2022-01-29,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2005000,3341.67,Off-Plan,3.69,74000.0
DLD-100006,2022-01-18,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3207000,3563.33,Off-Plan,3.8,122000.0
DLD-100007,2022-01-14,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4245000,3032.14,Off-Plan,3.56,151000.0
DLD-100008,2022-03-28,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3241000,3601.11,Off-Plan,3.94,128000.0
DLD-100009,2022-03-11,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2014000,3356.67,Off-Plan,3.61,73000.0
DLD-100010,2022-01-12,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3182000,2892.73,Off-Plan,3.87,123000.0
DLD-100011,2022-03-17,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3129000,2844.55,Off-Plan,3.91,122000.0
DLD-100012,2022-02-24,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,3500,12417000,3547.71,Off-Plan,3.64,452000.0
DLD-100013,2022-01-05,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1800,5815000,3230.56,Off-Plan,3.77,219000.0
DLD-100014,2022-01-04,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3524000,3203.64,Ready,3.79,133000.0
DLD-100015,2022-01-12,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3936000,3578.18,Ready,4.08,161000.0
